 10475603694250 100      CacheSendSnpSharedFwdCompData BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603694250 100      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603694500 100      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603694500 100      Cache    SendSnpFwdedResp BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603694500 100      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603694500 100      Cache               Final BUSY_BLKD>RSC    [0xbcf8fac0, line 0xbcf8fac0] 
 10475603710750 485      Cache         CompData_SC BUSY_INTR>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603710750 485      Cache         SendCompAck BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603711750 485      Cache         CompData_SC BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603711750 485      Cache         WaitCompAck BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603711750 485      Cache        SendCompData BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603711750 485      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603712000 485      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603713000 491      Cache         CompData_SC BUSY_INTR>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603713000 491      Cache         SendCompAck BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603714000 491      Cache         CompData_SC BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603714000 491      Cache         WaitCompAck BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603714000 491      Cache        SendCompData BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603714000 491      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603714250 485      Cache             CompAck BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603714250 485      Cache      CheckCacheFill BUSY_BLKD>BUSY_INTR [0xbcf8fac0, line 0xbcf8fac0] 
 10475603714250 485      Cache       TagArrayWrite BUSY_INTR>BUSY_INTR [0xbcf8fac0, line 0xbcf8fac0] 
 10475603714250 485      Cache               Final BUSY_INTR>RSC    [0xbcf8fac0, line 0xbcf8fac0] 
 10475603714250 491      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603714500  44      Cache             CompAck BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603714750 489      Cache         CompData_SC BUSY_INTR>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603714750 489      Cache         SendCompAck BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603715500 491      Cache             CompAck BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603715500 491      Cache      CheckCacheFill BUSY_BLKD>BUSY_INTR [0xbcf8fac0, line 0xbcf8fac0] 
 10475603715500 491      Cache            FillPipe BUSY_INTR>BUSY_INTR [0xbcf8fac0, line 0xbcf8fac0] 
 10475603715500 491      CacheDataArrayWriteOnFill BUSY_INTR>BUSY_INTR [0xbcf8fac0, line 0xbcf8fac0] 
 10475603715500 491      Cache       TagArrayWrite BUSY_INTR>BUSY_INTR [0xbcf8fac0, line 0xbcf8fac0] 
 10475603715500 491      Cache               Final BUSY_INTR>SC_RSC [0xbcf8fac0, line 0xbcf8fac0] 
 10475603715750 121        Seq                Done       >       [0xbcf8faf8, line 0xbcf8fac0] 196 cycles
 10475603715750 489      Cache         CompData_SC BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603715750 489      Cache      CheckCacheFill BUSY_BLKD>BUSY_INTR [0xbcf8fac0, line 0xbcf8fac0] 
 10475603715750 489      Cache      CheckCacheFill BUSY_INTR>BUSY_INTR [0xbcf8fac0, line 0xbcf8fac0] 
 10475603715750 489      Cache            FillPipe BUSY_INTR>BUSY_INTR [0xbcf8fac0, line 0xbcf8fac0] 
 10475603715750 489      CacheDataArrayWriteOnFill BUSY_INTR>BUSY_INTR [0xbcf8fac0, line 0xbcf8fac0] 
 10475603715750 489      Cache       TagArrayWrite BUSY_INTR>BUSY_INTR [0xbcf8fac0, line 0xbcf8fac0] 
 10475603715750 489      Cache               Final BUSY_INTR>SC     [0xbcf8fac0, line 0xbcf8fac0] 
 10475603722000 121        Seq               Begin       >       [0xbcf8faf8, line 0xbcf8fac0] LD
 10475603722250 489      Cache     AllocSeqRequest     SC>SC     [0xbcf8fac0, line 0xbcf8fac0] 
 10475603722250 489      Cache                Load     SC>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603722250 489      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603722250 489      Cache       DataArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603722500 121        Seq                Done       >       [0xbcf8faf8, line 0xbcf8fac0] 2 cycles
 10475603722500 489      Cache             LoadHit BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603722500 489      Cache               Final BUSY_BLKD>SC     [0xbcf8fac0, line 0xbcf8fac0] 
 10475603722500 121        Seq               Begin       >       [0xbcf8faf8, line 0xbcf8fac0] LD
 10475603722750 489      Cache     AllocSeqRequest     SC>SC     [0xbcf8fac0, line 0xbcf8fac0] 
 10475603722750 489      Cache                Load     SC>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603722750 489      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603722750 489      Cache       DataArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603723000 121        Seq                Done       >       [0xbcf8faf8, line 0xbcf8fac0] 2 cycles
 10475603723000 489      Cache             LoadHit BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603723000 489      Cache               Final BUSY_BLKD>SC     [0xbcf8fac0, line 0xbcf8fac0] 
 10475603735500  44      Cache SnpResp_SC_Fwded_SC BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603735500  44      Cache   MaintainCoherence BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603735500  44      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603735500  44      Cache               Final BUSY_BLKD>RUSC   [0xbcf8fac0, line 0xbcf8fac0] 
 10475604553000 127        Seq               Begin       >       [0xbcf8faf8, line 0xbcf8fac0] LD
