 32170988718750 107      Cache          ReadShared      I>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988718750 107      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988719000 107      Cache        ReadMissPipe BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988719000 107      Cache      SendReadShared BUSY_BLKD>BUSY_INTR [0xfbe6b240, line 0xfbe6b240] 
 32170988722750  10      Cache        AllocRequest   RUSC>RUSC   [0xfbe6b240, line 0xfbe6b240] 
 32170988722750  10      Cache          ReadShared   RUSC>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988722750  10      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988723000  10      Cache        ReadMissPipe BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988723000  10      CacheSendSnpSharedFwdToSharer BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988723000  10      Cache         WaitCompAck BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988728000 359      Cache          AllocSnoop    RSC>RSC    [0xfbe6b240, line 0xfbe6b240] 
 32170988728000 359      Cache        SnpSharedFwd    RSC>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988728000 359      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988728250 359      Cache       SnpSharedPipe BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988728250 359      Cache         SendSnpOnce BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988729500 365      Cache          AllocSnoop     SC>SC     [0xfbe6b240, line 0xfbe6b240] 
 32170988729500 365      Cache             SnpOnce     SC>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988729500 365      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988729750 365      Cache         SnpOncePipe BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988729750 365      Cache       DataArrayRead BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988730000 365      Cache         SendSnpData BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988730000 365      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988730250 365      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
