 10400106988500 464      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106988500 464      Cache               Final BUSY_BLKD>RSC    [0xbd92f240, line 0xbd92f240] 
 10400106988500 467      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106989000 465      Cache         CompData_SC BUSY_INTR>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106989000 465      Cache         SendCompAck BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106990000 114        Seq                Done       >       [0xbd92f268, line 0xbd92f240] 79 cycles
 10400106990000 465      Cache         CompData_SC BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106990000 465      Cache      CheckCacheFill BUSY_BLKD>BUSY_INTR [0xbd92f240, line 0xbd92f240] 
 10400106990000 465      Cache            FillPipe BUSY_INTR>BUSY_INTR [0xbd92f240, line 0xbd92f240] 
 10400106990000 465      CacheDataArrayWriteOnFill BUSY_INTR>BUSY_INTR [0xbd92f240, line 0xbd92f240] 
 10400106990000 465      Cache       TagArrayWrite BUSY_INTR>BUSY_INTR [0xbd92f240, line 0xbd92f240] 
 10400106990000 465      Cache               Final BUSY_INTR>SC     [0xbd92f240, line 0xbd92f240] 
 10400106994000 467      Cache             CompAck BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106994000 467      Cache      CheckCacheFill BUSY_BLKD>BUSY_INTR [0xbd92f240, line 0xbd92f240] 
 10400106994000 467      Cache            FillPipe BUSY_INTR>BUSY_INTR [0xbd92f240, line 0xbd92f240] 
 10400106994000 467      CacheDataArrayWriteOnFill BUSY_INTR>BUSY_INTR [0xbd92f240, line 0xbd92f240] 
 10400106994000 467      Cache       TagArrayWrite BUSY_INTR>BUSY_INTR [0xbd92f240, line 0xbd92f240] 
 10400106994000 467      Cache               Final BUSY_INTR>SC_RSC [0xbd92f240, line 0xbd92f240] 
 10400107080750 120        Seq               Begin       >       [0xbd92f268, line 0xbd92f240] LD
 10400107081000 486      Cache     AllocSeqRequest      I>I      [0xbd92f240, line 0xbd92f240] 
 10400107081000 486      Cache                Load      I>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107081000 486      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107081000 486      Cache      SendReadShared BUSY_BLKD>BUSY_INTR [0xbd92f240, line 0xbd92f240] 
 10400107081750 488      Cache        AllocRequest      I>I      [0xbd92f240, line 0xbd92f240] 
 10400107081750 488      Cache          ReadShared      I>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107081750 488      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107082000 488      Cache        ReadMissPipe BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107082000 488      Cache      SendReadShared BUSY_BLKD>BUSY_INTR [0xbd92f240, line 0xbd92f240] 
 10400107083250 485      Cache        AllocRequest      I>I      [0xbd92f240, line 0xbd92f240] 
 10400107083250 485      Cache          ReadShared      I>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107083250 485      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107083500 485      Cache        ReadMissPipe BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107083500 485      Cache      SendReadShared BUSY_BLKD>BUSY_INTR [0xbd92f240, line 0xbd92f240] 
 10400107088250  10      Cache        AllocRequest   RUSC>RUSC   [0xbd92f240, line 0xbd92f240] 
 10400107088250  10      Cache          ReadShared   RUSC>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107088250  10      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107088500  10      Cache        ReadMissPipe BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
