Instantiated DTM.
Cyc=         64 Op1=[0x00000000] Op2=[0x0000000a] W[W, 2= 0x0000000a]   Mem[0: R:0x0a630080 W:0x00000000] PC= 0x8000016c    li      sp, 10
Cyc=         65 Op1=[0x80002000] Op2=[0x00000003] W[_, 3= 0x80002003]   Mem[0: R:0xffffffef W:0x0000000a] PC= 0x80000170    sb      sp, 3(ra)
Cyc=         66 Op1=[0x80002000] Op2=[0x00000003] W[W,30= 0x0000000a]   Mem[1: R:0x0000000a W:0x00000004] PC= 0x80000174    lb      t5, 3(ra)
Cyc=         67 Op1=[0x00000000] Op2=[0x0000000a] W[W,29= 0x0000000a]   Mem[0: R:0x0a630080 W:0x00000000] PC= 0x80000178    li      t4, 10
Cyc=         68 Op1=[0x00000000] Op2=[0x00000005] W[W, 3= 0x00000005]   Mem[0: R:0x9334202f W:0x800000fc] PC= 0x8000017c    li      gp, 5
Cyc=         69 Op1=[0x0000000a] Op2=[0x0000000a] W[_,16= 0x00000000]   Mem[0: R:0x04c0006f W:0x0000000a] PC= 0x80000180    bne     t5, t4, pc + 880
Cyc=         70 Op1=[0x00002000] Op2=[0x80000184] W[W, 1= 0x80002184]   Mem[0: R:0x00000000 W:0x00000000] PC= 0x80000184    auipc   ra, 0x2
Cyc=         71 Op1=[0x80002184] Op2=[0xfffffe83] W[W, 1= 0x80002007]   Mem[0: R:0x00efefef W:0x00000005] PC= 0x80000188    addi    ra, ra, -381
Cyc=         72 Op1=[0x00000000] Op2=[0xffffffaa] W[W, 2= 0xffffffaa]   Mem[0: R:0x00000000 W:0x00000000] PC= 0x8000018c    li      sp, -86
Cyc=         73 Op1=[0x80002007] Op2=[0xfffffffd] W[_,29= 0x80002004]   Mem[0: R:0xffffffef W:0xffffffaa] PC= 0x80000190    sb      sp, -3(ra)
Cyc=         74 Op1=[0x80002007] Op2=[0xfffffffd] W[W,30= 0xffffffaa]   Mem[1: R:0xffffffaa W:0x0000000a] PC= 0x80000194    lb      t5, -3(ra)
Cyc=         75 Op1=[0x00000000] Op2=[0xffffffaa] W[W,29= 0xffffffaa]   Mem[0: R:0x00000000 W:0x00000000] PC= 0x80000198    li      t4, -86
Cyc=         76 Op1=[0x00000000] Op2=[0x00000006] W[W, 3= 0x00000006]   Mem[0: R:0x0f933420 W:0x00000000] PC= 0x8000019c    li      gp, 6
Cyc=         77 Op1=[0xffffffaa] Op2=[0xffffffaa] W[_,16= 0x00000000]   Mem[0: R:0x04c0006f W:0xffffffaa] PC= 0x800001a0    bne     t5, t4, pc + 848
Cyc=         78 Op1=[0x00002000] Op2=[0x800001a4] W[W, 1= 0x800021a4]   Mem[0: R:0x00000000 W:0x00000000] PC= 0x800001a4    auipc   ra, 0x2
Cyc=         79 Op1=[0x800021a4] Op2=[0xfffffe63] W[W, 1= 0x80002007]   Mem[0: R:0x00efefef W:0x00000006] PC= 0x800001a8    addi    ra, ra, -413
Cyc=         80 Op1=[0x00000000] Op2=[0x00000000] W[W, 2= 0x00000000]   Mem[0: R:0x04c0006f W:0x00000000] PC= 0x800001ac    li      sp, 0
Cyc=         81 Op1=[0x80002007] Op2=[0xfffffffe] W[_,30= 0x80002005]   Mem[0: R:0xffffffef W:0x00000000] PC= 0x800001b0    sb      sp, -2(ra)
Cyc=         82 Op1=[0x80002007] Op2=[0xfffffffe] W[W,30= 0x00000000]   Mem[1: R:0x00000000 W:0xffffffaa] PC= 0x800001b4    lb      t5, -2(ra)
Cyc=         83 Op1=[0x00000000] Op2=[0x00000000] W[W,29= 0x00000000]   Mem[0: R:0x04c0006f W:0x00000000] PC= 0x800001b8    li      t4, 0
Cyc=         84 Op1=[0x00000000] Op2=[0x00000007] W[W, 3= 0x00000007]   Mem[0: R:0x800f9334 W:0x00000000] PC= 0x800001bc    li      gp, 7
Cyc=         85 Op1=[0x00000000] Op2=[0x00000000] W[_,16= 0x00000000]   Mem[0: R:0x04c0006f W:0x00000000] PC= 0x800001c0    bne     t5, t4, pc + 816
Cyc=         86 Op1=[0x00002000] Op2=[0x800001c4] W[W, 1= 0x800021c4]   Mem[0: R:0x00000000 W:0x00000000] PC= 0x800001c4    auipc   ra, 0x2
Cyc=         87 Op1=[0x800021c4] Op2=[0xfffffe43] W[W, 1= 0x80002007]   Mem[0: R:0x00efefef W:0x00000007] PC= 0x800001c8    addi    ra, ra, -445
Cyc=         88 Op1=[0x00000000] Op2=[0xffffffa0] W[W, 2= 0xffffffa0]   Mem[0: R:0x00000000 W:0x00000000] PC= 0x800001cc    li      sp, -96
Cyc=         89 Op1=[0x80002007] Op2=[0xffffffff] W[_,31= 0x80002006]   Mem[0: R:0xffffffef W:0xffffffa0] PC= 0x800001d0    sb      sp, -1(ra)
Cyc=         90 Op1=[0x80002007] Op2=[0xffffffff] W[W,30= 0xffffffa0]   Mem[1: R:0xffffffa0 W:0x00000000] PC= 0x800001d4    lb      t5, -1(ra)
Cyc=         91 Op1=[0x00000000] Op2=[0xffffffa0] W[W,29= 0xffffffa0]   Mem[0: R:0x00000000 W:0x00000000] PC= 0x800001d8    li      t4, -96
Cyc=         92 Op1=[0x00000000] Op2=[0x00000008] W[W, 3= 0x00000008]   Mem[0: R:0x00800f93 W:0x00000000] PC= 0x800001dc    li      gp, 8
Cyc=         93 Op1=[0xffffffa0] Op2=[0xffffffa0] W[_,16= 0x00000000]   Mem[0: R:0x04c0006f W:0xffffffa0] PC= 0x800001e0    bne     t5, t4, pc + 784
Cyc=         94 Op1=[0x00002000] Op2=[0x800001e4] W[W, 1= 0x800021e4]   Mem[0: R:0x00000000 W:0x00000000] PC= 0x800001e4    auipc   ra, 0x2
Cyc=         95 Op1=[0x800021e4] Op2=[0xfffffe23] W[W, 1= 0x80002007]   Mem[0: R:0x00efefef W:0x00000008] PC= 0x800001e8    addi    ra, ra, -477
